,Unnamed: 0,City,Job title,Company name,Location,Salary,tech skills,og_salary_period,salary_category,above_med_sal,technical skills
0,0,Toronto,Machine Learning Developer / Data Scientist,Rangle,"Toronto, ON",,python data machine design machine_learning access data_analysis nodejs artificial_intelligence tools classification consulting javascript data_processing agile testing data_scientist tensorflow algorithms,,no category,,python machine_learning artificial_intelligence javascript agile tensorflow algorithms
1,1,Toronto,Data Scientist - Customer Insights,TELUS Communications,"Toronto, ON",,modelling python data text_analytics machine design computer_science predictive analytics team_leading r_lang predictive_analytics marketing statistics big_data machine_learning presentation_skills data_analysis problem_solving unix modeling predictive_modeling hive analytical large change_management sql mathematics strategy data_mining databases advanced_analytics data_scientist spark sas,,no category,,python r_lang marketing statistics machine_learning unix hive sql mathematics data_mining databases spark sas
2,2,Toronto,"Research Scientist, Google Brain (Canada)",Google,"Toronto, ON",,python data machine cpp_lang research design computer_science designing machine_learning access artificial_intelligence ideas deep_learning large computer_vision c_lang data_mining programming algorithms,,no category,,python cpp_lang machine_learning artificial_intelligence deep_learning c_lang data_mining algorithms
3,3,Toronto,"Data Scientist, HS Classification",Amazon.com,"Toronto, ON",,data_analyst data business_analyst statistical_analysis dashboards design computer_science analytics statistics business_understanding excel data_modeling modeling statistical business_analysis analytical sql mathematics warehouse data_mining finance data_warehousing data_scientist etl,,no category,,statistics excel sql mathematics data_mining etl
4,4,Toronto,Data Scientist,Wysdom.AI,"Toronto, ON",,modelling python data machine research decision_trees logistic_regression software_development machine_learning regression svm deep_learning tools machine_learning_algorithms strategy natural_language_processing customer_care data_scientist algorithms,,no category,,python decision_trees logistic_regression machine_learning deep_learning natural_language_processing algorithms
5,5,Toronto,Data Scientist,Telus Digital,"Toronto, ON",,data languages statistical_modeling machine communication_skills operations technology research design computer_science designing service machine_learning visualization modeling regression statistical ideas deep_learning tools business_operations large classification mathematics natural_language_processing agile data_scientist data_science,,no category,,communication_skills machine_learning visualization deep_learning mathematics natural_language_processing agile
6,6,Toronto,Data Scientist,BlueDot,"Toronto, ON",,modelling python data languages text_analytics machine apache open_source technology design scala predictive analytics distributed_computing r_lang statistics big_data service machine_learning data_analysis modeling apache_spark statistical mathematical predictive_modeling tools large sql strategy health natural_language_processing predictive_modelling programming data_scientist data_science spark algorithms,,no category,,python scala r_lang statistics machine_learning sql natural_language_processing spark algorithms
7,7,Toronto,Business Intelligence Developer,McKinsey & Company,"Toronto, ON",,modelling data sql_server retail ms_sql_server unit_testing communication_skills technology design automation data_visualization computer_science analytics acquisitions sdlc service business_intelligence visualization documentation ideas bi tools financial_services verbal_communication ssis sql consulting wealth_management data_processing databases coding testing programming data_warehousing database ms_sql algorithms etl,,no category,,communication_skills data_visualization visualization sql databases database algorithms etl
8,8,Toronto,Data Scientist,The Nielsen Company - Engineering,"Markham, ON",,python data machine go technology research computer_science java r machine_learning data_analysis ideas large sql data_scientist database data_science tensorflow algorithms,,no category,,python go java machine_learning sql database tensorflow algorithms
9,9,Toronto,Data Scientist,Advantex Marketing International,"Markham, ON",,data languages machine statistical_analysis statistics machine_learning regression statistical data_collection sql nosql data_mining testing programming data_scientist data_science scripting,,no category,,statistics machine_learning sql nosql data_mining scripting
10,10,Toronto,Data Scientist,Maropost,"Toronto, ON",,data machine research product_management computer_science predictive analytics sales selection_process predictive_analytics marketing statistics machine_learning modeling product_development large data_mining data_scientist data_science algorithms,,no category,,marketing statistics machine_learning data_mining algorithms
11,11,Toronto,Data Mining Scientist,Huawei Canada,"Markham, ON",,data statistical_modeling machine research design clustering computer_science predictive analytics statistics big_data machine_learning modeling regression statistical tools classification data_mining agile” pattern_recognition,,no category,,statistics machine_learning data_mining
12,13,Toronto,Data Scientist,Operant AI,"Toronto, ON",,python data retail technology artificial_intelligence sql natural_language_processing data_scientist data_science tensorflow,,no category,,python artificial_intelligence sql natural_language_processing tensorflow
13,14,Toronto,Data Scientist / Engineer (Data Architecture),Swift Medical,"Toronto, ON",,python data healthcare languages machine operations technology research computer_science designing big_data machine_learning access hadoop deep_learning recruitment tools large computer_vision data_processing data_scientist data_science pig tensorflow cloud,,no category,,python machine_learning hadoop deep_learning pig tensorflow cloud
14,15,Toronto,Data Scientist,Thoughtwire,"Toronto, ON",,python data matlab healthcare machine statistical_analysis dashboards operations design automation scala predictive analytics java designing r selection_process statistics machine_learning statistical hadoop mapreduce hive tools large sql testing evaluation data_scientist data_science pig spark,,no category,,python matlab scala java statistics machine_learning hadoop mapreduce hive sql pig spark
15,16,Toronto,Data Scientist,Capital One,"Toronto, ON",,tableau python data languages statistical_modeling machine open_source technology aws scala predictive designing distributed_computing r_lang logistic_regression git service machine_learning api mysql data_analysis visualization modeling regression statistical ideas predictive_modeling tools website large relational_database sql databases programming data_scientist database validation tensorflow,,no category,,tableau python aws scala r_lang logistic_regression git machine_learning api visualization sql databases database tensorflow
16,17,Toronto,Data Scientist,Munich Re,"Toronto, ON",,python data underwriting machine communication_skills operations technology research design computer_science data_management predictive analytics r_lang statistics big_data service machine_learning actuarial modeling statistical insurance financial_services sql mathematics testing data_scientist reinsurance data_science,,no category,,python communication_skills r_lang statistics machine_learning sql mathematics
17,18,Toronto,Data Scientist- Big Data,Zenith System Solutions,"Toronto, ON",,python data machine apache design java r_lang statistics big_data machine_learning linux data_analysis apache_spark hadoop hive large sql mathematics nosql data_mining databases coding data_scientist data_science pig spark,,no category,,python java r_lang statistics machine_learning linux hadoop hive sql mathematics nosql data_mining databases pig spark
18,19,Toronto,Data Scientist,Finesse Technologies Inc.,"Toronto, ON",,modelling python data machine statistical_analysis operations research computer_science java r_lang statistics big_data machine_learning modeling statistical svm mathematical hadoop deep_learning mapreduce segmentation statistical_modelling analytical large classification relational_database data_collection sql mathematics nosql testing data_scientist text_mining database data_science spark sas algorithms,,no category,,python java r_lang statistics machine_learning hadoop deep_learning mapreduce sql mathematics nosql database spark sas algorithms
19,20,Toronto,Data Scientist (Toronto),Wish,"Toronto, ON",,data statistical_modeling machine technology research design computer_science analytics object_oriented_programming statistics machine_learning modeling statistical hadoop deep_learning mapreduce tools large computer_vision data_analytics data_processing coding programming data_scientist algorithm spark algorithms,,no category,,statistics machine_learning hadoop deep_learning mapreduce algorithm spark algorithms
20,21,Toronto,Data Scientist,407 ETR,"Woodbridge, ON",,python data machine communication_skills technology research design clustering computer_science data_management analytics r_lang selection_process marketing statistics machine_learning data_analysis problem_solving visualization modeling regression information_technology bi business_analysis tools classification mathematics data_analytics project_management data_scientist data_science sas strong_communication_skills,,no category,,python communication_skills r_lang marketing statistics machine_learning visualization mathematics project_management sas
21,22,Toronto,Level 2 Data Scientist,RBC,"Toronto, ON",,modelling python data text_analytics machine communication_skills apache design computer_science social_media analytics java r statistics big_data machine_learning access linux data_analysis problem_solving apache_spark statistical hadoop recruitment hive statistical_modelling tools insurance analytical financial_services shell_scripting large commercial_banking sql mathematics nosql natural_language_processing data_mining wealth_management databases advanced_analytics coding data_scientist data_science scripting pig spark,,no category,,python communication_skills java statistics machine_learning linux hadoop hive shell_scripting sql mathematics nosql natural_language_processing data_mining databases scripting pig spark
22,23,Toronto,"Data Scientist, Product Intelligence",CBC/Radio-Canada,"Toronto, ON",,data communication_skills open_source technology computer_science data_management marketing statistics presentation_skills pandas actuarial recruitment advertising” segmentation github website testing programming data_scientist,,no category,,communication_skills marketing statistics pandas
23,24,Toronto,Research Scientist,Rubikloud Technologies,"Toronto, ON",,modelling data retail prototype machine research automation” computer_science sales selection_process statistics machine_learning artificial_intelligence ideas data_collection mathematics health data_processing data_scientist database data_science cloud algorithms,,no category,,statistics machine_learning artificial_intelligence mathematics database cloud algorithms
24,25,Toronto,Data Scientist,FreshBooks,"Toronto, ON",,python data machine statistical_analysis communication_skills analytics designing r big_data git service machine_learning statistical_software data_analysis statistical ideas hadoop recruitment postgresql tools sql health advanced_analytics data_scientist scripting spark,,no category,,python communication_skills git machine_learning hadoop sql scripting spark
25,26,Toronto,"Research Scientist, Machine Learning and Cognitive Intelligence",EY,"Toronto, ON",,python data machine cpp_lang research design automation computer_science predictive designing machine_learning neural_networks artificial_intelligence statistical ideas deep_learning large computer_vision c_lang natural_language_processing data_mining programming validation,,no category,,python cpp_lang machine_learning neural_networks artificial_intelligence deep_learning c_lang natural_language_processing data_mining
26,27,Toronto,Data Scientist - Machine Learning,RBC,"Toronto, ON",,python data languages machine apache technology design clustering data_visualization computer_science analytics designing r_lang statistics big_data machine_learning data_analysis visualization apache_spark statistical hadoop deep_learning hive tools github insurance financial_services large commercial_banking sql mathematics natural_language_processing wealth_management data_processing agile testing programming data_scientist cloud spark networking,,no category,,python data_visualization r_lang statistics machine_learning visualization hadoop deep_learning hive sql mathematics natural_language_processing agile cloud spark
27,28,Toronto,Data Scientist,Star Media Group,"Toronto, ON",,python data text_analytics statistical_modeling cpp_lang research design scala computer_science predictive analytics java designing r predictive_analytics problem_solving modeling statistical hadoop recruitment mapreduce forecasting analytical large c_lang health data_processing agile testing programming sas algorithms data_structures etl,,no category,,python cpp_lang scala java hadoop mapreduce c_lang agile sas algorithms etl
28,29,Toronto,Data Scientist,President's Choice Financial,"Toronto, ON",,data machine statistical_analysis operations clustering hbase analytics sales big_data service machine_learning access excel problem_solving modeling regression statistical google_analytics hadoop mapreduce hive business_analysis insurance ms_office analytical financial_services sql strategy advanced_analytics acquisition data_scientist sas,,no category,,hbase machine_learning excel hadoop mapreduce hive sql sas
29,30,Toronto,Senior Data Scientist,Scotiabank,"Toronto, ON",,tableau python cleaning data sql_server json languages machine statistical_analysis software_engineering technology design hbase predictive analytics distributed_computing r_lang selection_process marketing statistics big_data machine_learning qlikview cassandra mysql unix visualization modeling statistical documentation ideas hadoop recruitment predictive_modeling hive tools xml shell_scripting large sql mathematics nosql natural_language_processing data_mining databases agile acquisition testing data_scientist algorithm data_science scripting digital_marketing pig spark algorithms,,no category,,tableau python hbase r_lang marketing statistics machine_learning cassandra unix visualization hadoop hive shell_scripting sql mathematics nosql natural_language_processing data_mining databases agile algorithm scripting pig spark algorithms
30,31,Toronto,Data Scientist,Logojoy,"Toronto, ON",,python data machine software_engineering technology research design computer_science machine_learning product_development large health javascript data_scientist database tensorflow algorithms,,no category,,python machine_learning javascript database tensorflow algorithms
31,33,Toronto,AVP Data Sciences - Enterprise Analytics,Aviva,"Markham, ON",,python data machine software_engineering technology model_development r_lang statistics statistical insurance large acquisition programming algorithm data_science algorithms,,no category,,python r_lang statistics algorithm algorithms
32,34,Toronto,"Senior Analyst, Analytics",Cancer Care Ontario,"Toronto, ON",,data healthcare operations research design data_extraction quality_assurance analytics statistics data_analysis problem_solving statistical tools analytical sql health databases testing sas,,no category,,statistics sql databases sas
33,35,Toronto,Data Scientist,Dealer-FX,"Markham, ON",,data user_experience machine dashboards design automation computer_science data_management predictive analytics machine_learning business_intelligence vba excel data_architecture data_modeling data_analysis problem_solving visualization modeling statistical ideas bi tools analytical large sql mathematics ms_excel data_analytics warehouse consulting data_processing agile testing data_scientist database database_design ms_sql sas data_structures etl,,no category,,machine_learning excel visualization sql mathematics agile database sas etl
