Job_Name	Skillset	Location	Organization
Business Intelligence and Reporting	Business Analysis, Business Analytics, Project Management, UAT...	Mumbai, Mumbai Suburbs	Morgan Stanley Advantage Services Pvt. Ltd.
Talend Developer - Business Intelligence/data Warehousing	Deep Learning, R, Predictive Analytics, Data Science, Customer Analytics...	Bengaluru	Allstate Solutions Private Limited
Business Intelligence Analyst	program management, program delivery, business analytics...	Chennai	Premium
Microstrategy Developer - Decision Support/business Intelligence	CRM, ERP, SAP, Back office, SCM, Prospecting, Coaching, Business analytics,...	Delhi	SAP India Pvt.Ltd
Head - Business Intelligence & Analytics - NBFC	business analysis, sql server, business analytics, data analytics, PLSQL...	Bengaluru	Ocwen Financial Solutions Pvt. Ltd
Program Manager - Business Intelligence	project management, project tracking, business analysis, analytics...	Mumbai	Hansa Cequity
Analytics & Business Intelligence Business Development Manager	Program Management, Business Analytics, program delivery...	Ahmedabad, Kolkata, Pune	Bakkolla Infozone
Business Analyst- Business Intelligence (bi)/ Data Warehousing (DW)	Finance, Retail Merchandising, Accounting, Online Marketing...	Hyderabad	TMI Network
MS Business Intelligence Professional	analytics, time series, capability building, business solutions...	Mumbai	Premium
Assistant Manager - Analytics - Reporting & Business Intelligence	Java, J2Ee, JSP, Design Patterns, Web Services, SQL, RDBMS...	Noida	Nucleus Software Exports Limited
Teksystems is Hiring for Business Intelligence Analyst	sas sql, customer segmentation, web analytics, Predictive modeling...	Bengaluru, Kolkata	Careernet Technologies Pvt Ltd
Business Intelligence Analyst - Ssis/ssrs/ssas - Healthcare Domain	client engagement, business intelligence, analytics...	Chennai(Taramani)	AJAX Consulting
Business Intelligence -solution Architect	SAS, Excel, Business Analytics, R, Analytics	Mumbai	Bank of India
SAP Consultant - Business Intelligence	r, predictive modeling, logistic regression, machine learning...	Bengaluru	RANDSTAD INDIA PVT LTD
Cognos Lead - Business Objects/ Business Intelligence	r, business analytics, Tableau, Spotfire, Alteryx	Delhi NCR	Valiance Solutions  - Startup
Business Analyst- Business Intelligence | IT MNC | Mumbai	Marketing Campaigns, Events, Strategy, Business Analytics, Member Relations...	Delhi NCR, Gurgaon	MA KNOWLEDGE SERVICES RESEARCH (INDIA) PVT. LTD.
Business Intelligence Reports	Finance, Financial Analysis, Financial Modelling, Accounting Standards...	Mumbai	WowTables - Startup
Business Analyst- Business Intelligence	nlp, text analytics, data science, linear regression, python...	Gurgaon	PI Industries Ltd.
Business Intelligence & ETL Support | Aeronube Technology | Bangalore	SDLC, Business analysis, Module, Monitoring, Knowledge management, Business...	Chennai	Ducen IT Private Limited
Data Warehousing and Business Intelligence	Banking Analytics, Excel, Business Analytics, Credit Risk, MS Office...	Mumbai	Confidential
Business Intelligence Analyst III - OTC Install & Warranty Team Suppor	Tools, Semiconductor, Cisco, microsoft, Sales process, Assurance...	Delhi NCR, Gurgaon	HuQuo
Senior Analyst, Business Intelligence	User Experience, User Stories, Product Management, Business Analytics...	Bengaluru	Wipro GSH (A Division of Wipro Limited)
Business Intelligence Analyst - Ssis/ssrs/ssas - Healthcare Domain	finance, forecasting, financial planning, financial modelling...	Bhopal	Big Recruit Consulting
Business Intelligence / Data Engineering Lead	capacity planning, business analytics, business management, qlik, tableau...	Gurgaon	Optum, a UnitedHealth Group Company
Senior Advisor, Business Intelligence	campaign analytics, campaigns, marketing programs, campaign management...	Gurgaon	FIL India Business and Research Services Private Limited
Advisor,business Intelligence	academician, vertical head, finance, business analyst, academic head...	Mumbai	CORPORATE ACCESS
Technical Lead / Senior Engineer SAP Business Intelligence	sas sql, segmentation, statistics, business analytics, impact analysis...	Bengaluru	M/S I-NURTURE EDUCATION SOLUTIONS PVT LTD.
Data Warehousing and Business Intelligence Professional	unsecured loans, strategic planning Personal Loans, Business Loan, Personal...	Bengaluru	Premium
Job Opportunity -BI Analyst (modeler - Data Warehouse)	Program Management, Program Delivery, Business Analytics...	Bengaluru	Efficient HR Solutions Consultant Private Limited
Java Developer	Business Analysis, Business Analytics, Functional Testing, BA...	Hyderabad	Premium
Business Intelligence / Data Warehousing Tools -software Engineer - BI	capacity planning, business analytics, business management...	Chennai	SPI TECHNOLOGIES INDIA PRIVATE LIMITED
Business Intelligence & Analytics Expert - Etl/ssis/ssrs	six sigma, master black belt, process improvement, process re - engineering...	Vijayawada, Udaipur, Thrissur	Bakkolla Infozone
Business Intelligence Developer	six sigma, master black belt, process improvement, process re - engineering...	Chennai	Wipro BPS (A division of Wipro Limited)
Senior Software Analyst-ssrs	six sigma, master black belt, process improvement, process re - engineering...	Coimbatore	Wipro BPS (A division of Wipro Limited)
Senior Data Analyst	SQL, Advanced Analytics, Managed Services, Business Analytics...	Kolkata	Wipro BPS (A division of Wipro Limited)
Opening for Head Business Intelligence & Data Warehouse	Sales, Product Marketing, Project Management, Administration Management...	Nagpur	InfoCepts Technologies Pvt. Ltd
SAP BW/ BI Consultant - IP Module	Requirement Gathering, RPA, Business Analytics	Gurgaon	REED ELSEVIER INDIA (a part of RELX India Pvt Ltd)
"Immediate Opening in Pune for ""obiee Application Development "" CTH"	Business Analytics, Analytics, tableau, Qlikview, VBA macros, R, C++, SQL...	Mumbai	Infogain India (P) Ltd.
Data Analytics (SAS & SQL) - Manager & Lead Manage	project management, program management, business analytics...	Mumbai	Premium
