,Links,job description
0,https://www.naukri.com/job-listings-Business-Manager-Consumer-Durable-Home-Appliances-Arvi-Consultancy-Delhi-5-to-10-years-130318001378?src=jobsearchDesk&sid=15210486586452&xp=1&px=1,"['Distribution Channel Sales', 'Consumer Durables', 'Team Management', 'Home Appliances', 'Regional Sales', 'Sales Management', 'Channel Partners', 'Relationship Management', 'Business Management', 'Payment Collection']"
1,https://www.naukri.com/job-listings-Airline-Business-Manager-Amadeus-India-Pvt-Ltd-Gurgaon-5-to-10-years-140318007505?src=jobsearchDesk&sid=15210486586452&xp=2&px=1,"['Sales Management', 'Promotions', 'Prospecting', 'New Business', 'Business Management', 'Closing']"
2,https://www.naukri.com/job-listings-Business-Manager-Consumer-Durable-home-Appliances-Arvi-Consultancy-Delhi-5-to-10-years-140318005559?src=jobsearchDesk&sid=15210486586452&xp=3&px=1,"['Business Manager', 'Channel Sales', 'Sales', 'Distribution', 'Collections']"
3,https://www.naukri.com/job-listings-Business-Development-Manager-DigiLantern-Delhi-NCR-5-to-10-years-140318900430?src=jobsearchDesk&sid=15210486586452&xp=4&px=1,"['Area Sales Management', 'Business Development Management', 'Client Relationship', 'Strategy Development', 'Clinical Data', 'sales', 'BD']"
4,https://www.naukri.com/job-listings-State-Business-Manager-Diagnostic-Industry-Delhi-NCR-Mumbai-Bengaluru-Hyderabad-Kolkata-4-to-9-years-140318900984?src=jobsearchDesk&sid=15210486586452&xp=5&px=1,"['biochemistry', 'hematology', 'immunology', 'secondary sales', 'post sales', 'business management', 'Selling', 'sales', 'Sales Management']"
5,https://www.naukri.com/job-listings-Sales-Manager-Business-Development-facility-Gurgaon-Vatika-Hotels-Pvt-Ltd-Gurgaon-7-to-10-years-140318004579?src=jobsearchDesk&sid=15210486586452&xp=6&px=1,"['Sales Planning', 'Business Development Management', 'Marketing', 'Sales Strategy', 'Sales Management', 'New Business', 'Negotiation', 'Facility Management']"
6,https://www.naukri.com/job-listings-Therapy-Business-Manager-delhi-Wilshrine-Technologies-Delhi-NCR-2-to-5-years-140318008308?src=jobsearchDesk&sid=15210486586452&xp=7&px=1,"['Business Management', 'Therapy Executive', 'Sales', 'Marketing', 'Brand Promotion']"
7,https://www.naukri.com/job-listings-Business-Development-Manager-RSB-Systems-Pvt-Ltd-Noida-5-to-8-years-140318901780?src=jobsearchDesk&sid=15210486586452&xp=8&px=1,"['Business Development Manager', 'Business Development', 'Sales', 'pricing', 'proposals management']"
8,https://www.naukri.com/job-listings-Area-Business-Manager-Delhi-ncr-Barista-Coffee-Company-Ltd-Delhi-NCR-8-to-13-years-281217001283?src=jobsearchDesk&sid=15210486586452&xp=9&px=1,"['sales', 'business development', 'operations manager', 'coffee', 'Area Manager', 'Area Business Manager', 'Business Manager']"
9,https://www.naukri.com/job-listings-Business-Development-Manager-Aatapaha-Gurgaon-7-to-9-years-140318901791?src=jobsearchDesk&sid=15210486586452&xp=10&px=1,"['business development management', 'sales', 'growth strategy', 'customer satisfaction', 'bd', 'bdm', 'business development']"
10,https://www.naukri.com/job-listings-Regional-Business-Manager-urgently-Req-12-18yr-s-Anand-Organics-Agra-Bhopal-Faridabad-Ghaziabad-Indore-Jabalpur-Lucknow-Nagpur-12-to-18-years-271117001214?src=jobsearchDesk&sid=15210486586452&xp=11&px=1,"['planning', 'team management', 'target achievement', 'new business', 'sales management', 'business development', 'marketing', 'branding', 'promotion']"
11,https://www.naukri.com/job-listings-Business-Development-Manager-Orange-Mantra-Gurgaon-Sohna-Road-6-to-10-years-120318006137?src=jobsearchDesk&sid=15210486586452&xp=12&px=1,"['Sales Management', 'Business Development Management', 'Direct Marketing', 'Client Retention', 'Cold Calling', 'New Business Development', 'Strategic Planning', 'Service Operations', 'Client Servicing', 'Advertising']"
12,https://www.naukri.com/job-listings-Sales-business-Development-Manager-at-Roadgods-ROADGODS-AUTOGEAR-PRIVATE-LIMITED-Delhi-NCR-1-to-4-years-140318002709?src=jobsearchDesk&sid=15210486586452&xp=13&px=1,"['Sales Management', 'Business Development Management', 'Marketing', 'Lead Generation', 'Channel Distribution', 'Sales Strategy', 'B2B', 'Sales Process', 'CRM', 'Startup']"
13,https://www.naukri.com/job-listings-Business-Development-Manager-SDA-achitects-Planners-Delhi-NCR-Green-Field-1-3-to-8-years-140318002405?src=jobsearchDesk&sid=15210486586452&xp=14&px=1,"['marketing', 'sales', 'business development', 'planning engineering', 'digital media', 'real estate', 'social networking', 'communication skills', 'mentor']"
14,https://www.naukri.com/job-listings-Asst-Manager-Business-Development-Marketing-Nipman-Fastener-Industries-Private-Limited-Gurgaon-5-to-10-years-080318006040?src=jobsearchDesk&sid=15210486586452&xp=15&px=1,"['Sales Executive Activities', 'Marketing', 'Business Development Management', 'New Product Development', 'MIS Preparation', 'Customer Support']"
15,https://www.naukri.com/job-listings-Sales-Business-Development-Manager-Lloyds-Ventures-Gurgaon-0-to-5-years-201117006754?src=jobsearchDesk&sid=15210486586452&xp=16&px=1,"['business development', 'international sales', 'b2b sales', 'lead generation', 'team management', 'service sales', 'sales management', 'sales analysis', 'campaigns']"
16,https://www.naukri.com/job-listings-Business-Development-Manager-Mobile-Apps-iWEBSERVICES-Noida-Sector-62-Noida-2-to-5-years-140318008219?src=jobsearchDesk&sid=15210486586452&xp=17&px=1,"['sales', 'it services', 'mobile applications', 'business development manager', 'b2b sales', 'b2c sales', 'lead generation', 'inside sales', 'bde', 'bdm', 'android application', 'ios']"
17,https://www.naukri.com/job-listings-Senior-Business-Development-Manager-DigiLantern-Noida-3-to-5-years-140318900441?src=jobsearchDesk&sid=15210486586452&xp=18&px=1,"['Sales Administration', 'Business Development Management', 'Operations Planning', 'Sales', 'BDM', 'BD']"
18,https://www.naukri.com/job-listings-Business-Development-Executive-manager-US-IT-Staffing-night-Shift-FCS-Software-Solutions-Limited-Noida-1-to-2-years-060218003841?src=jobsearchDesk&sid=15210486586452&xp=19&px=1,"['business development management', 'cold calling', 'night shift', 'us staffing', 'it recruitment', 'bdm', 'business development', 'it sales', 'software sales', 'erp sales', 'international sales', 'us sales']"
19,https://www.naukri.com/job-listings-Senior-Manager-BBPS-business-Development-National-Payments-Corporation-of-India-society-Delhi-9-to-12-years-140318005094?src=jobsearchDesk&sid=15210486586452&xp=20&px=1,"['Marketing Initiatives', 'Business Development', 'Promotions', 'Events', 'Conferences', 'Outlet', 'Operations', 'Senior Management', 'Pressure Handling']"
20,https://www.naukri.com/job-listings-Assistant-Business-Manager-IMMUNOSHOP-INDIA-PVT-LTD-Delhi-NCR-Mumbai-Bengaluru-Chennai-Kolkata-Agra-Chandigarh-2-to-7-years-130318008783?src=jobsearchDesk&sid=15210486586452&xp=21&px=1,"['sales', 'biotechnology', 'microbiology', 'biochemistry', 'channel partners', 'channel partner management', 'business management', 'customer relationship', 'relationship building', 'cold calling', 'immunology', 'elisa']"
21,https://www.naukri.com/job-listings-Area-Business-Manager-Muthoot-Finance-Ltd-Kolkata-Delhi-Mumbai-5-to-10-years-130318001826?src=jobsearchDesk&sid=15210486586452&xp=22&px=1,"['Area Sales', 'Business Development', 'Banking', 'Retail Sales', 'Team Handling', 'Wealth Management', 'Business Management', 'Financial Services', 'Retail Business', 'Communication Skills']"
