,City,Job title,Company name,Location,Salary,og_salary_period,salary_category,above_med_sal,technical skills
0,Toronto,Machine Learning Developer / Data Scientist,Rangle,"Toronto, ON",,,no category,,python machine_learning artificial_intelligence javascript agile tensorflow algorithms
1,Toronto,Data Scientist - Customer Insights,TELUS Communications,"Toronto, ON",,,no category,,python r_lang marketing statistics machine_learning unix hive sql mathematics data_mining databases spark sas
2,Toronto,"Research Scientist, Google Brain (Canada)",Google,"Toronto, ON",,,no category,,python cpp_lang machine_learning artificial_intelligence deep_learning c_lang data_mining algorithms
3,Toronto,"Data Scientist, HS Classification",Amazon.com,"Toronto, ON",,,no category,,statistics excel sql mathematics data_mining etl
4,Toronto,Data Scientist,Wysdom.AI,"Toronto, ON",,,no category,,python decision_trees logistic_regression machine_learning deep_learning natural_language_processing algorithms
5,Toronto,Data Scientist,Telus Digital,"Toronto, ON",,,no category,,communication_skills machine_learning visualization deep_learning mathematics natural_language_processing agile
6,Toronto,Data Scientist,BlueDot,"Toronto, ON",,,no category,,python scala r_lang statistics machine_learning sql natural_language_processing spark algorithms
7,Toronto,Business Intelligence Developer,McKinsey & Company,"Toronto, ON",,,no category,,communication_skills data_visualization visualization sql databases database algorithms etl
8,Toronto,Data Scientist,The Nielsen Company - Engineering,"Markham, ON",,,no category,,python go java machine_learning sql database tensorflow algorithms
9,Toronto,Data Scientist,Advantex Marketing International,"Markham, ON",,,no category,,statistics machine_learning sql nosql data_mining scripting
10,Toronto,Data Scientist,Maropost,"Toronto, ON",,,no category,,marketing statistics machine_learning data_mining algorithms
11,Toronto,Data Mining Scientist,Huawei Canada,"Markham, ON",,,no category,,statistics machine_learning data_mining
12,Toronto,Data Scientist,Operant AI,"Toronto, ON",,,no category,,python artificial_intelligence sql natural_language_processing tensorflow
13,Toronto,Data Scientist / Engineer (Data Architecture),Swift Medical,"Toronto, ON",,,no category,,python machine_learning hadoop deep_learning pig tensorflow cloud
14,Toronto,Data Scientist,Thoughtwire,"Toronto, ON",,,no category,,python matlab scala java statistics machine_learning hadoop mapreduce hive sql pig spark
15,Toronto,Data Scientist,Capital One,"Toronto, ON",,,no category,,tableau python aws scala r_lang logistic_regression git machine_learning api visualization sql databases database tensorflow
16,Toronto,Data Scientist,Munich Re,"Toronto, ON",,,no category,,python communication_skills r_lang statistics machine_learning sql mathematics
17,Toronto,Data Scientist- Big Data,Zenith System Solutions,"Toronto, ON",,,no category,,python java r_lang statistics machine_learning linux hadoop hive sql mathematics nosql data_mining databases pig spark
18,Toronto,Data Scientist,Finesse Technologies Inc.,"Toronto, ON",,,no category,,python java r_lang statistics machine_learning hadoop deep_learning mapreduce sql mathematics nosql database spark sas algorithms
19,Toronto,Data Scientist (Toronto),Wish,"Toronto, ON",,,no category,,statistics machine_learning hadoop deep_learning mapreduce algorithm spark algorithms
20,Toronto,Data Scientist,407 ETR,"Woodbridge, ON",,,no category,,python communication_skills r_lang marketing statistics machine_learning visualization mathematics project_management sas
21,Toronto,Level 2 Data Scientist,RBC,"Toronto, ON",,,no category,,python communication_skills java statistics machine_learning linux hadoop hive shell_scripting sql mathematics nosql natural_language_processing data_mining databases scripting pig spark
22,Toronto,"Data Scientist, Product Intelligence",CBC/Radio-Canada,"Toronto, ON",,,no category,,communication_skills marketing statistics pandas
23,Toronto,Research Scientist,Rubikloud Technologies,"Toronto, ON",,,no category,,statistics machine_learning artificial_intelligence mathematics database cloud algorithms
24,Toronto,Data Scientist,FreshBooks,"Toronto, ON",,,no category,,python communication_skills git machine_learning hadoop sql scripting spark
25,Toronto,"Research Scientist, Machine Learning and Cognitive Intelligence",EY,"Toronto, ON",,,no category,,python cpp_lang machine_learning neural_networks artificial_intelligence deep_learning c_lang natural_language_processing data_mining
26,Toronto,Data Scientist - Machine Learning,RBC,"Toronto, ON",,,no category,,python data_visualization r_lang statistics machine_learning visualization hadoop deep_learning hive sql mathematics natural_language_processing agile cloud spark
27,Toronto,Data Scientist,Star Media Group,"Toronto, ON",,,no category,,python cpp_lang scala java hadoop mapreduce c_lang agile sas algorithms etl
28,Toronto,Data Scientist,President's Choice Financial,"Toronto, ON",,,no category,,hbase machine_learning excel hadoop mapreduce hive sql sas
29,Toronto,Senior Data Scientist,Scotiabank,"Toronto, ON",,,no category,,tableau python hbase r_lang marketing statistics machine_learning cassandra unix visualization hadoop hive shell_scripting sql mathematics nosql natural_language_processing data_mining databases agile algorithm scripting pig spark algorithms
30,Toronto,Data Scientist,Logojoy,"Toronto, ON",,,no category,,python machine_learning javascript database tensorflow algorithms
