Job_Name,Organization,Location,Skillset,Skillset_list
NLP Data Scientist,Smatsocial - Startup,Bengaluru,"machinelearning,naturallanguageprocessing,deeplearning,textmining","['machinelearning', 'naturallanguageprocessing', 'deeplearning', 'textmining']"
Data Scientist - Perl/python,niki.ai,Bengaluru,"python,ruby,perl,datascientist,scripting","['python', 'ruby', 'perl', 'datascientist', 'scripting']"
Data Scientist (python)/ Machine Learning,Premium,Bengaluru,"deeplearning,machinelearning,nlp,artificialintelligence,python","['deeplearning', 'machinelearning', 'nlp', 'artificialintelligence', 'python']"
Data Scientist,Sasken Communication Technologies Ltd,Bengaluru(Domlur),"r,machinelearning,predictivemaintenance,datamining,timeseries,data","['r', 'machinelearning', 'predictivemaintenance', 'datamining', 'timeseries', 'data']"
Data Scientist - Analytics & Visualization,Premium,Bengaluru,"css,html,javascript,xml,mssqlserver,corejava,azure,c","['css', 'html', 'javascript', 'xml', 'mssqlserver', 'corejava', 'azure', 'c']"
Data Scientist,Confidential,Bengaluru,"analytics,dataanalysis,python,visualization,algorithms,textmining","['analytics', 'dataanalysis', 'python', 'visualization', 'algorithms', 'textmining']"
Data Scientist - IT/ BPO,Premium,Bengaluru,"advancedanalytics,datascientist,predictivemodelling,forecasting","['advancedanalytics', 'datascientist', 'predictivemodelling', 'forecasting']"
Data Scientist,Confidential,Bengaluru,"underwriting,riskmanagement,sas,sql,businessanalyst","['underwriting', 'riskmanagement', 'sas', 'sql', 'businessanalyst']"
Trainee - Data Scientist/ USA Australia,MNC,"Mumbai, Bengaluru, Pune",datascientist,['datascientist']
Data Scientist,Confidential,Bengaluru,"underwriting,riskmanagement,sas,sql,businessanalyst","['underwriting', 'riskmanagement', 'sas', 'sql', 'businessanalyst']"
Sr. Data Scientist,Premium,Bengaluru,"machinelearning,datascience,datamining,artificialintelligence","['machinelearning', 'datascience', 'datamining', 'artificialintelligence']"
"Data Scientist , Apple Care Online Support",Apple INC,Bengaluru,"customersupport,dataintegrity,webcontent,machinelearning","['customersupport', 'dataintegrity', 'webcontent', 'machinelearning']"
Lead Data Scientist,iMind Your Business,Bengaluru,"datascientist,apachespark,apachedrill,mapreduce","['datascientist', 'apachespark', 'apachedrill', 'mapreduce']"
Data Scientist Lead / Senior Data Scientist,iMind Your Business,Bengaluru,"datascientist,spark,apachedrill,mapreduce,apache,python,java,aws","['datascientist', 'spark', 'apachedrill', 'mapreduce', 'apache', 'python', 'java', 'aws']"
Principal Data Scientist- Iit/iiit/nit,Cynosure Corporate Solutions,Bengaluru,"machinelearning,deeplearning,logisticregression,predictivemodelling,","['machinelearning', 'deeplearning', 'logisticregression', 'predictivemodelling', '']"
SR Data Scientist jobs @ Product Development Company,Value Vision Management Consultant,Bengaluru,"machinelearning,datascience,artificialintelligence,datamining","['machinelearning', 'datascience', 'artificialintelligence', 'datamining']"
Data Scientist,DishQ - Startup,Bengaluru,"python,django,spark,machinelearning,hadoop,algorithms,statistics","['python', 'django', 'spark', 'machinelearning', 'hadoop', 'algorithms', 'statistics']"
Data Scientist / Machine Learning,Zinnov Management Consulting Private Limited,Bengaluru(5th block Koramangala),"deeplearning,machinelearning,naturallanguageprocessing,nlp,python","['deeplearning', 'machinelearning', 'naturallanguageprocessing', 'nlp', 'python']"
Data Scientist - Predictive Analytics / MISS,iMind Your Business,Bengaluru,"datascientist,predictiveanalytics,miss,sas","['datascientist', 'predictiveanalytics', 'miss', 'sas']"
Senior Data Scientist for Product Company at Bangalore,ABC Consultants Pvt Ltd,Bengaluru,"machinelearning,datascience,datamining,artificialintelligence","['machinelearning', 'datascience', 'datamining', 'artificialintelligence']"
Data Scientist - Natural Language Processing,Premium,Bengaluru,"machinelearning,naturallanguageprocessing,r,analytics","['machinelearning', 'naturallanguageprocessing', 'r', 'analytics']"
Data Scientist,Premium,Bengaluru,"adsense,googleanalytics,googleadwords,facebook,datastructures","['adsense', 'googleanalytics', 'googleadwords', 'facebook', 'datastructures']"
Data Scientist,Confidential,Bengaluru,"underwriting,riskmanagement,sas,sql,businessanalyst","['underwriting', 'riskmanagement', 'sas', 'sql', 'businessanalyst']"
Data Scientist,Confidential,Bengaluru,"r,analytics,machinelearning,statisticalmodeling,datavisualization","['r', 'analytics', 'machinelearning', 'statisticalmodeling', 'datavisualization']"
Data Scientist,Philips India Limited,Bengaluru(Nagavara),"nlp,datascience,r,machinelearning,python,dataanalysis","['nlp', 'datascience', 'r', 'machinelearning', 'python', 'dataanalysis']"
Data Scientist/statistician Analyst for Data Semantics,DATA SEMANTICS PRIVATE LIMITED,Bengaluru(Indira Nagar),"sql,machinelearning,python,r,algorithms,java,sas","['sql', 'machinelearning', 'python', 'r', 'algorithms', 'java', 'sas']"
Data Scientist,Societe Generale Global Solution Centre,Bengaluru,"tools,monitoring,enterpriseapplications,ideas,datacollection,machine","['tools', 'monitoring', 'enterpriseapplications', 'ideas', 'datacollection', 'machine']"
Associate Principal - Data Scientist,Accenture Solutions Pvt Ltd,Bengaluru,"advancedanalytics,opensource,machinelearning,fundamentalresearch","['advancedanalytics', 'opensource', 'machinelearning', 'fundamentalresearch']"
Senior Principal - Data Scientist,Accenture Solutions Pvt Ltd,Bengaluru,"advancedanalytics,projectexecution,teammanagement,coredata","['advancedanalytics', 'projectexecution', 'teammanagement', 'coredata']"
Specialist - Data Scientist - 9,Accenture,Bengaluru,"service,machinelearning,fundamentalresearch,projectexecution","['service', 'machinelearning', 'fundamentalresearch', 'projectexecution']"
Data Scientist- Stackroute Labs- Niit- Bangalore,NIIT Ltd.,Bengaluru(HSR Layout),"machinelearning,python,r,neoj,cassandra,algorithms,scala,mapreduce","['machinelearning', 'python', 'r', 'neoj', 'cassandra', 'algorithms', 'scala', 'mapreduce']"
Technical Lead - Data Scientist - Bangalore (multiple Locations),"Optum, a UnitedHealth Group Company",Bengaluru,"datamining,dataanalysis,analytics,bigdata,algorithm","['datamining', 'dataanalysis', 'analytics', 'bigdata', 'algorithm']"
Machine Learning Engineer / Data Scientist,Idexcel Technologies Private Limited,"Bengaluru, Hyderabad, Pune","machinelearning,artificialintelligence,nlp,matlab,python,java","['machinelearning', 'artificialintelligence', 'nlp', 'matlab', 'python', 'java']"
