Job_Name,Organization,Location,Skillset
Data Scientist,Sasken Communication Technologies Ltd,Bengaluru(Domlur),"['r', ' machine learning', ' predictive maintenance', ' data mining', ' time series', ' data...', 'r', ' machine learning', ' predictive maintenance', ' data mining', ' time series', ' data...']"
Technical Lead - Data Scientist - Bangalore (multiple Locations),"Optum, a UnitedHealth Group Company",Bengaluru,"['data mining', ' data analysis', ' analytics', ' big data', ' algorithm...', 'data mining', ' data analysis', ' analytics', ' big data', ' algorithm...']"
Principal Data Scientist,Cynosure Corporate Solutions,Bengaluru,"['machine learning', ' deep learning', ' logistic regression', ' predictive modelling', '...', 'machine learning', ' deep learning', ' logistic regression', ' predictive modelling', '...']"
Data Scientist,Confidential,Bengaluru,"['analytics', ' data analysis', ' python', ' visualization', ' algorithms', ' text mining...', 'analytics', ' data analysis', ' python', ' visualization', ' algorithms', ' text mining...']"
SR Data Scientist jobs @ Product Development Company,Value Vision Management Consultant,Bengaluru,"['machine learning', ' data science', ' artificial intelligence', ' data mining...', 'machine learning', ' data science', ' artificial intelligence', ' data mining...']"
Data Scientist,Confidential,Bengaluru,"['underwriting', ' risk management', ' sas', ' sql', ' business analyst...', 'underwriting', ' risk management', ' sas', ' sql', ' business analyst...']"
Data Scientist,DishQ - Startup,Bengaluru,"['python', ' django', ' spark', ' machine learning', ' hadoop', ' algorithms', ' statistics...', 'python', ' django', ' spark', ' machine learning', ' hadoop', ' algorithms', ' statistics...']"
Data Scientist,Confidential,Bengaluru,"['underwriting', ' risk management', ' sas', ' sql', ' business analyst...', 'underwriting', ' risk management', ' sas', ' sql', ' business analyst...']"
NLP Data Scientist,Smatsocial - Startup,Bengaluru,"['machine learning', ' natural language processing', ' deep learning', ' text mining...', 'machine learning', ' natural language processing', ' deep learning', ' text mining...']"
Data Scientist,Confidential,Bengaluru,"['underwriting', ' risk management', ' sas', ' sql', ' business analyst...', 'underwriting', ' risk management', ' sas', ' sql', ' business analyst...']"
